Relative_Compactness,Wall_Area,Roof_Area,Heating_Load,Cooling_Load,Ori_3,Ori_4,Ori_5,GA_0.1,GA_0.25,GA_0.4,GD_1,GD_2,GD_3,GD_4,GD_5
0.76,416.5,122.5,33.12,34.17,False,True,False,True,False,False,False,True,False,False,False
0.76,416.5,122.5,32.41,33.78,False,False,True,True,False,False,False,True,False,False,False
0.98,294.0,110.25,24.28,25.68,False,False,False,True,False,False,False,False,True,False,False
0.98,294.0,110.25,24.4,26.02,True,False,False,True,False,False,False,False,True,False,False
0.98,294.0,110.25,24.11,25.84,False,True,False,True,False,False,False,False,True,False,False
0.98,294.0,110.25,24.35,26.14,False,False,True,True,False,False,False,False,True,False,False
0.9,318.5,122.5,28.07,34.14,False,False,False,True,False,False,False,False,True,False,False
0.9,318.5,122.5,29.01,32.85,True,False,False,True,False,False,False,False,True,False,False
0.9,318.5,122.5,29.62,30.08,False,True,False,True,False,False,False,False,True,False,False
0.9,318.5,122.5,29.05,29.67,False,False,True,True,False,False,False,False,True,False,False
0.86,294.0,147.0,25.41,31.73,False,False,False,True,False,False,False,False,True,False,False
0.86,294.0,147.0,26.47,31.01,True,False,False,True,False,False,False,False,True,False,False
0.86,294.0,147.0,26.89,25.9,False,True,False,True,False,False,False,False,True,False,False
0.86,294.0,147.0,26.46,27.4,False,False,True,True,False,False,False,False,True,False,False
0.82,318.5,147.0,22.93,28.68,False,False,False,True,False,False,False,False,True,False,False
0.82,318.5,147.0,23.84,27.54,True,False,False,True,False,False,False,False,True,False,False
0.82,318.5,147.0,24.17,25.35,False,True,False,True,False,False,False,False,True,False,False
0.82,318.5,147.0,23.87,24.93,False,False,True,True,False,False,False,False,True,False,False
0.79,343.0,147.0,35.78,43.12,False,False,False,True,False,False,False,False,True,False,False
0.79,343.0,147.0,35.48,41.22,True,False,False,True,False,False,False,False,True,False,False
0.79,343.0,147.0,36.97,35.1,False,True,False,True,False,False,False,False,True,False,False
0.79,343.0,147.0,36.7,34.29,False,False,True,True,False,False,False,False,True,False,False
0.76,416.5,122.5,32.52,33.85,False,False,False,True,False,False,False,False,True,False,False
0.76,416.5,122.5,33.28,34.11,True,False,False,True,False,False,False,False,True,False,False
0.76,416.5,122.5,32.33,34.48,False,True,False,True,False,False,False,False,True,False,False
0.76,416.5,122.5,33.24,34.5,False,False,True,True,False,False,False,False,True,False,False
0.98,294.0,110.25,24.38,25.91,False,False,False,True,False,False,False,False,False,True,False
0.98,294.0,110.25,24.23,25.72,True,False,False,True,False,False,False,False,False,True,False
0.98,294.0,110.25,24.04,26.18,False,True,False,True,False,False,False,False,False,True,False
0.98,294.0,110.25,24.32,25.87,False,False,True,True,False,False,False,False,False,True,False
0.9,318.5,122.5,29.06,29.34,False,False,False,True,False,False,False,False,False,True,False
0.9,318.5,122.5,28.05,33.91,True,False,False,True,False,False,False,False,False,True,False
0.9,318.5,122.5,28.86,32.83,False,True,False,True,False,False,False,False,False,True,False
0.9,318.5,122.5,29.79,29.92,False,False,True,True,False,False,False,False,False,True,False
0.86,294.0,147.0,26.44,27.17,False,False,False,True,False,False,False,False,False,True,False
0.86,294.0,147.0,25.37,31.76,True,False,False,True,False,False,False,False,False,True,False
0.86,294.0,147.0,26.33,31.06,False,True,False,True,False,False,False,False,False,True,False
0.86,294.0,147.0,27.03,25.81,False,False,True,True,False,False,False,False,False,True,False
0.82,318.5,147.0,23.8,24.61,False,False,False,True,False,False,False,False,False,True,False
0.82,318.5,147.0,22.8,28.61,True,False,False,True,False,False,False,False,False,True,False
0.82,318.5,147.0,23.59,27.57,False,True,False,True,False,False,False,False,False,True,False
0.82,318.5,147.0,24.24,25.16,False,False,True,True,False,False,False,False,False,True,False
0.79,343.0,147.0,36.86,34.25,False,False,False,True,False,False,False,False,False,True,False
0.79,343.0,147.0,35.89,43.3,True,False,False,True,False,False,False,False,False,True,False
0.79,343.0,147.0,35.45,41.86,False,True,False,True,False,False,False,False,False,True,False
0.79,343.0,147.0,37.1,35.29,False,False,True,True,False,False,False,False,False,True,False
0.76,416.5,122.5,33.08,34.11,False,False,False,True,False,False,False,False,False,True,False
0.76,416.5,122.5,32.38,33.62,True,False,False,True,False,False,False,False,False,True,False
0.76,416.5,122.5,33.09,33.89,False,True,False,True,False,False,False,False,False,True,False
0.76,416.5,122.5,32.31,34.05,False,False,True,True,False,False,False,False,False,True,False
0.98,294.0,110.25,24.35,25.64,False,False,False,True,False,False,False,False,False,False,True
0.98,294.0,110.25,24.33,25.98,True,False,False,True,False,False,False,False,False,False,True
0.98,294.0,110.25,24.03,25.88,False,True,False,True,False,False,False,False,False,False,True
0.98,294.0,110.25,24.26,26.18,False,False,True,True,False,False,False,False,False,False,True
0.9,318.5,122.5,29.83,29.82,False,False,False,True,False,False,False,False,False,False,True
0.9,318.5,122.5,29.08,29.52,True,False,False,True,False,False,False,False,False,False,True
0.9,318.5,122.5,28.03,34.45,False,True,False,True,False,False,False,False,False,False,True
0.9,318.5,122.5,29.02,33.01,False,False,True,True,False,False,False,False,False,False,True
0.86,294.0,147.0,27.03,25.82,False,False,False,True,False,False,False,False,False,False,True
0.86,294.0,147.0,26.45,27.33,True,False,False,True,False,False,False,False,False,False,True
0.86,294.0,147.0,25.36,32.04,False,True,False,True,False,False,False,False,False,False,True
0.86,294.0,147.0,26.45,31.28,False,False,True,True,False,False,False,False,False,False,True
0.82,318.5,147.0,24.37,25.11,False,False,False,True,False,False,False,False,False,False,True
0.82,318.5,147.0,23.89,24.77,True,False,False,True,False,False,False,False,False,False,True
0.82,318.5,147.0,22.89,28.88,False,True,False,True,False,False,False,False,False,False,True
0.82,318.5,147.0,23.86,27.69,False,False,True,True,False,False,False,False,False,False,True
0.79,343.0,147.0,37.03,34.99,False,False,False,True,False,False,False,False,False,False,True
0.79,343.0,147.0,36.71,34.18,True,False,False,True,False,False,False,False,False,False,True
0.79,343.0,147.0,36.77,43.14,False,True,False,True,False,False,False,False,False,False,True
0.79,343.0,147.0,35.48,41.26,False,False,True,True,False,False,False,False,False,False,True
0.76,416.5,122.5,32.31,34.25,False,False,False,True,False,False,False,False,False,False,True
0.76,416.5,122.5,33.21,34.35,True,False,False,True,False,False,False,False,False,False,True
0.76,416.5,122.5,32.46,33.64,False,True,False,True,False,False,False,False,False,False,True
0.76,416.5,122.5,33.27,33.88,False,False,True,True,False,False,False,False,False,False,True
0.98,294.0,110.25,28.15,29.79,False,False,False,False,True,False,True,False,False,False,False
0.98,294.0,110.25,28.15,29.79,True,False,False,False,True,False,True,False,False,False,False
0.98,294.0,110.25,28.37,29.28,False,True,False,False,True,False,True,False,False,False,False
0.98,294.0,110.25,28.41,29.49,False,False,True,False,True,False,True,False,False,False,False
0.9,318.5,122.5,32.68,36.12,False,False,False,False,True,False,True,False,False,False,False
0.9,318.5,122.5,33.48,33.17,True,False,False,False,True,False,True,False,False,False,False
0.9,318.5,122.5,32.84,32.71,False,True,False,False,True,False,True,False,False,False,False
0.9,318.5,122.5,32.0,37.58,False,False,True,False,True,False,True,False,False,False,False
0.86,294.0,147.0,29.54,33.98,False,False,False,False,True,False,True,False,False,False,False
0.86,294.0,147.0,30.05,28.61,True,False,False,False,True,False,True,False,False,False,False
0.86,294.0,147.0,29.6,30.12,False,True,False,False,True,False,True,False,False,False,False
0.86,294.0,147.0,28.66,34.73,False,False,True,False,True,False,True,False,False,False,False
0.82,318.5,147.0,26.84,30.17,False,False,False,False,True,False,True,False,False,False,False
0.82,318.5,147.0,27.27,27.84,True,False,False,False,True,False,True,False,False,False,False
0.82,318.5,147.0,26.97,27.25,False,True,False,False,True,False,True,False,False,False,False
0.82,318.5,147.0,26.19,31.39,False,False,True,False,True,False,True,False,False,False,False
0.79,343.0,147.0,38.67,43.8,False,False,False,False,True,False,True,False,False,False,False
0.79,343.0,147.0,40.03,37.81,True,False,False,False,True,False,True,False,False,False,False
0.79,343.0,147.0,39.86,36.85,False,True,False,False,True,False,True,False,False,False,False
0.79,343.0,147.0,39.04,45.52,False,False,True,False,True,False,True,False,False,False,False
0.76,416.5,122.5,36.96,36.85,False,False,False,False,True,False,True,False,False,False,False
0.76,416.5,122.5,36.13,37.58,True,False,False,False,True,False,True,False,False,False,False
0.76,416.5,122.5,36.91,37.45,False,True,False,False,True,False,True,False,False,False,False
0.76,416.5,122.5,36.43,36.62,False,False,True,False,True,False,True,False,False,False,False
0.98,294.0,110.25,28.67,29.62,False,False,False,False,True,False,False,True,False,False,False
0.98,294.0,110.25,28.57,29.69,True,False,False,False,True,False,False,True,False,False,False
0.98,294.0,110.25,28.18,30.18,False,True,False,False,True,False,False,True,False,False,False
0.98,294.0,110.25,28.6,30.02,False,False,True,False,True,False,False,True,False,False,False
0.9,318.5,122.5,32.46,35.56,False,False,False,False,True,False,False,True,False,False,False
0.9,318.5,122.5,33.27,32.64,True,False,False,False,True,False,False,True,False,False,False
0.9,318.5,122.5,32.33,32.77,False,True,False,False,True,False,False,True,False,False,False
0.9,318.5,122.5,31.66,37.72,False,False,True,False,True,False,False,True,False,False,False
0.86,294.0,147.0,29.34,33.37,False,False,False,False,True,False,False,True,False,False,False
0.86,294.0,147.0,29.87,27.89,True,False,False,False,True,False,False,True,False,False,False
0.86,294.0,147.0,29.27,29.9,False,True,False,False,True,False,False,True,False,False,False
0.86,294.0,147.0,28.4,34.52,False,False,True,False,True,False,False,True,False,False,False
0.82,318.5,147.0,25.74,28.27,False,False,False,False,True,False,False,True,False,False,False
0.82,318.5,147.0,25.98,26.96,True,False,False,False,True,False,False,True,False,False,False
0.82,318.5,147.0,25.38,26.72,False,True,False,False,True,False,False,True,False,False,False
0.82,318.5,147.0,24.94,29.88,False,False,True,False,True,False,False,True,False,False,False
0.79,343.0,147.0,38.57,43.86,False,False,False,False,True,False,False,True,False,False,False
0.79,343.0,147.0,40.19,37.41,True,False,False,False,True,False,False,True,False,False,False
0.79,343.0,147.0,39.97,36.77,False,True,False,False,True,False,False,True,False,False,False
0.79,343.0,147.0,38.98,45.97,False,False,True,False,True,False,False,True,False,False,False
0.76,416.5,122.5,36.95,36.87,False,False,False,False,True,False,False,True,False,False,False
0.76,416.5,122.5,36.28,37.35,True,False,False,False,True,False,False,True,False,False,False
0.76,416.5,122.5,36.86,37.28,False,True,False,False,True,False,False,True,False,False,False
0.76,416.5,122.5,36.45,36.81,False,False,True,False,True,False,False,True,False,False,False
0.98,294.0,110.25,28.67,29.43,False,False,False,False,True,False,False,False,True,False,False
0.98,294.0,110.25,28.56,29.78,True,False,False,False,True,False,False,False,True,False,False
0.98,294.0,110.25,28.17,30.1,False,True,False,False,True,False,False,False,True,False,False
0.98,294.0,110.25,28.63,30.19,False,False,True,False,True,False,False,False,True,False,False
0.9,318.5,122.5,31.63,36.35,False,False,False,False,True,False,False,False,True,False,False
0.9,318.5,122.5,32.4,35.1,True,False,False,False,True,False,False,False,True,False,False
0.9,318.5,122.5,32.68,32.83,False,True,False,False,True,False,False,False,True,False,False
0.9,318.5,122.5,32.29,32.46,False,False,True,False,True,False,False,False,True,False,False
0.86,294.0,147.0,28.4,33.52,False,False,False,False,True,False,False,False,True,False,False
0.86,294.0,147.0,29.4,32.93,True,False,False,False,True,False,False,False,True,False,False
0.86,294.0,147.0,29.43,28.38,False,True,False,False,True,False,False,False,True,False,False
0.86,294.0,147.0,29.07,29.82,False,False,True,False,True,False,False,False,True,False,False
0.82,318.5,147.0,24.7,28.77,False,False,False,False,True,False,False,False,True,False,False
0.82,318.5,147.0,25.48,27.76,True,False,False,False,True,False,False,False,True,False,False
0.82,318.5,147.0,25.37,26.95,False,True,False,False,True,False,False,False,True,False,False
0.82,318.5,147.0,25.17,26.41,False,False,True,False,True,False,False,False,True,False,False
0.79,343.0,147.0,39.04,45.13,False,False,False,False,True,False,False,False,True,False,False
0.79,343.0,147.0,38.35,43.66,True,False,False,False,True,False,False,False,True,False,False
0.79,343.0,147.0,39.81,37.76,False,True,False,False,True,False,False,False,True,False,False
0.79,343.0,147.0,39.83,36.87,False,False,True,False,True,False,False,False,True,False,False
0.76,416.5,122.5,35.99,36.07,False,False,False,False,True,False,False,False,True,False,False
0.76,416.5,122.5,36.59,36.44,True,False,False,False,True,False,False,False,True,False,False
0.76,416.5,122.5,35.64,37.28,False,True,False,False,True,False,False,False,True,False,False
0.76,416.5,122.5,36.52,37.29,False,False,True,False,True,False,False,False,True,False,False
0.98,294.0,110.25,28.7,29.61,False,False,False,False,True,False,False,False,False,True,False
0.98,294.0,110.25,28.55,29.59,True,False,False,False,True,False,False,False,False,True,False
0.98,294.0,110.25,28.15,30.19,False,True,False,False,True,False,False,False,False,True,False
0.98,294.0,110.25,28.62,30.12,False,False,True,False,True,False,False,False,False,True,False
0.9,318.5,122.5,32.67,32.12,False,False,False,False,True,False,False,False,False,True,False
0.9,318.5,122.5,31.69,37.12,True,False,False,False,True,False,False,False,False,True,False
0.9,318.5,122.5,32.07,36.16,False,True,False,False,True,False,False,False,False,True,False
0.9,318.5,122.5,33.28,33.16,False,False,True,False,True,False,False,False,False,True,False
0.86,294.0,147.0,29.47,29.45,False,False,False,False,True,False,False,False,False,True,False
0.86,294.0,147.0,28.42,34.19,True,False,False,False,True,False,False,False,False,True,False
0.86,294.0,147.0,29.08,33.93,False,True,False,False,True,False,False,False,False,True,False
0.86,294.0,147.0,29.88,28.31,False,False,True,False,True,False,False,False,False,True,False
0.82,318.5,147.0,25.66,26.3,False,False,False,False,True,False,False,False,False,True,False
0.82,318.5,147.0,24.96,29.43,True,False,False,False,True,False,False,False,False,True,False
0.82,318.5,147.0,25.43,28.76,False,True,False,False,True,False,False,False,False,True,False
0.82,318.5,147.0,26.0,27.34,False,False,True,False,True,False,False,False,False,True,False
0.79,343.0,147.0,40.0,36.26,False,False,False,False,True,False,False,False,False,True,False
0.79,343.0,147.0,38.84,45.48,True,False,False,False,True,False,False,False,False,True,False
0.79,343.0,147.0,38.33,44.16,False,True,False,False,True,False,False,False,False,True,False
0.79,343.0,147.0,40.12,37.26,False,False,True,False,True,False,False,False,False,True,False
0.76,416.5,122.5,36.95,37.2,False,False,False,False,True,False,False,False,False,True,False
0.76,416.5,122.5,36.45,36.76,True,False,False,False,True,False,False,False,False,True,False
0.76,416.5,122.5,36.81,37.05,False,True,False,False,True,False,False,False,False,True,False
0.76,416.5,122.5,36.26,37.51,False,False,True,False,True,False,False,False,False,True,False
0.98,294.0,110.25,28.69,29.53,False,False,False,False,True,False,False,False,False,False,True
0.98,294.0,110.25,28.58,29.77,True,False,False,False,True,False,False,False,False,False,True
0.98,294.0,110.25,28.15,30.0,False,True,False,False,True,False,False,False,False,False,True
0.98,294.0,110.25,28.61,30.2,False,False,True,False,True,False,False,False,False,False,True
0.9,318.5,122.5,33.13,32.25,False,False,False,False,True,False,False,False,False,False,True
0.9,318.5,122.5,32.31,32.0,True,False,False,False,True,False,False,False,False,False,True
0.9,318.5,122.5,31.53,37.19,False,True,False,False,True,False,False,False,False,False,True
0.9,318.5,122.5,32.46,35.62,False,False,True,False,True,False,False,False,False,False,True
0.86,294.0,147.0,29.71,28.02,False,False,False,False,True,False,False,False,False,False,True
0.86,294.0,147.0,29.09,29.43,True,False,False,False,True,False,False,False,False,False,True
0.86,294.0,147.0,28.31,34.15,False,True,False,False,True,False,False,False,False,False,True
0.86,294.0,147.0,29.39,33.47,False,False,True,False,True,False,False,False,False,False,True
0.82,318.5,147.0,25.7,26.53,False,False,False,False,True,False,False,False,False,False,True
0.82,318.5,147.0,25.17,26.08,True,False,False,False,True,False,False,False,False,False,True
0.82,318.5,147.0,24.6,29.31,False,True,False,False,True,False,False,False,False,False,True
0.82,318.5,147.0,25.49,28.14,False,False,True,False,True,False,False,False,False,False,True
0.79,343.0,147.0,39.89,37.54,False,False,False,False,True,False,False,False,False,False,True
0.79,343.0,147.0,39.83,36.66,True,False,False,False,True,False,False,False,False,False,True
0.79,343.0,147.0,39.01,45.28,False,True,False,False,True,False,False,False,False,False,True
0.79,343.0,147.0,38.65,43.73,False,False,True,False,True,False,False,False,False,False,True
0.76,416.5,122.5,35.69,36.93,False,False,False,False,True,False,False,False,False,False,True
0.76,416.5,122.5,36.64,37.01,True,False,False,False,True,False,False,False,False,False,True
0.76,416.5,122.5,36.06,35.73,False,True,False,False,True,False,False,False,False,False,True
0.76,416.5,122.5,36.7,36.15,False,False,True,False,True,False,False,False,False,False,True
0.98,294.0,110.25,32.26,33.37,False,False,False,False,False,True,True,False,False,False,False
0.98,294.0,110.25,32.26,33.34,True,False,False,False,False,True,True,False,False,False,False
0.98,294.0,110.25,32.49,32.83,False,True,False,False,False,True,True,False,False,False,False
0.98,294.0,110.25,32.53,33.04,False,False,True,False,False,True,True,False,False,False,False
0.9,318.5,122.5,36.47,39.28,False,False,False,False,False,True,True,False,False,False,False
0.9,318.5,122.5,37.24,36.38,True,False,False,False,False,True,True,False,False,False,False
0.9,318.5,122.5,36.66,35.92,False,True,False,False,False,True,True,False,False,False,False
0.9,318.5,122.5,35.96,40.99,False,False,True,False,False,True,True,False,False,False,False
0.86,294.0,147.0,31.89,35.99,False,False,False,False,False,True,True,False,False,False,False
0.86,294.0,147.0,32.39,30.66,True,False,False,False,False,True,True,False,False,False,False
0.86,294.0,147.0,32.09,31.7,False,True,False,False,False,True,True,False,False,False,False
0.86,294.0,147.0,31.29,36.73,False,False,True,False,False,True,True,False,False,False,False
0.82,318.5,147.0,29.22,31.71,False,False,False,False,False,True,True,False,False,False,False
0.82,318.5,147.0,29.91,29.13,True,False,False,False,False,True,True,False,False,False,False
0.82,318.5,147.0,29.53,28.99,False,True,False,False,False,True,True,False,False,False,False
0.82,318.5,147.0,28.65,33.54,False,False,True,False,False,True,True,False,False,False,False
0.79,343.0,147.0,41.4,45.29,False,False,False,False,False,True,True,False,False,False,False
0.79,343.0,147.0,42.62,39.07,True,False,False,False,False,True,True,False,False,False,False
0.79,343.0,147.0,42.5,38.35,False,True,False,False,False,True,True,False,False,False,False
0.79,343.0,147.0,41.67,46.94,False,False,True,False,False,True,True,False,False,False,False
0.76,416.5,122.5,40.78,39.55,False,False,False,False,False,True,True,False,False,False,False
0.76,416.5,122.5,39.97,40.85,True,False,False,False,False,True,True,False,False,False,False
0.76,416.5,122.5,40.71,40.63,False,True,False,False,False,True,True,False,False,False,False
0.76,416.5,122.5,40.43,39.48,False,False,True,False,False,True,True,False,False,False,False
0.98,294.0,110.25,32.82,32.96,False,False,False,False,False,True,False,True,False,False,False
0.98,294.0,110.25,32.71,33.13,True,False,False,False,False,True,False,True,False,False,False
0.98,294.0,110.25,32.24,33.94,False,True,False,False,False,True,False,True,False,False,False
0.98,294.0,110.25,32.72,33.78,False,False,True,False,False,True,False,True,False,False,False
0.9,318.5,122.5,35.84,38.35,False,False,False,False,False,True,False,True,False,False,False
0.9,318.5,122.5,36.57,35.39,True,False,False,False,False,True,False,True,False,False,False
0.9,318.5,122.5,36.06,34.94,False,True,False,False,False,True,False,True,False,False,False
0.9,318.5,122.5,35.69,40.66,False,False,True,False,False,True,False,True,False,False,False
0.86,294.0,147.0,32.48,35.48,False,False,False,False,False,True,False,True,False,False,False
0.86,294.0,147.0,32.74,30.53,True,False,False,False,False,True,False,True,False,False,False
0.86,294.0,147.0,32.13,32.28,False,True,False,False,False,True,False,True,False,False,False
0.86,294.0,147.0,31.64,36.86,False,False,True,False,False,True,False,True,False,False,False
0.82,318.5,147.0,28.95,30.34,False,False,False,False,False,True,False,True,False,False,False
0.82,318.5,147.0,29.49,27.93,True,False,False,False,False,True,False,True,False,False,False
0.82,318.5,147.0,28.64,28.95,False,True,False,False,False,True,False,True,False,False,False
0.82,318.5,147.0,28.01,32.92,False,False,True,False,False,True,False,True,False,False,False
0.79,343.0,147.0,41.64,45.59,False,False,False,False,False,True,False,True,False,False,False
0.79,343.0,147.0,43.1,39.41,True,False,False,False,False,True,False,True,False,False,False
0.79,343.0,147.0,42.74,38.84,False,True,False,False,False,True,False,True,False,False,False
0.79,343.0,147.0,41.92,48.03,False,False,True,False,False,True,False,True,False,False,False
0.76,416.5,122.5,40.78,39.48,False,False,False,False,False,True,False,True,False,False,False
0.76,416.5,122.5,40.15,40.4,True,False,False,False,False,True,False,True,False,False,False
0.76,416.5,122.5,40.57,40.47,False,True,False,False,False,True,False,True,False,False,False
0.76,416.5,122.5,40.42,39.7,False,False,True,False,False,True,False,True,False,False,False
0.98,294.0,110.25,32.82,32.78,False,False,False,False,False,True,False,False,True,False,False
0.98,294.0,110.25,32.69,33.24,True,False,False,False,False,True,False,False,True,False,False
0.98,294.0,110.25,32.23,33.86,False,True,False,False,False,True,False,False,True,False,False
0.98,294.0,110.25,32.75,34.0,False,False,True,False,False,True,False,False,True,False,False
0.9,318.5,122.5,34.24,37.26,False,False,False,False,False,True,False,False,True,False,False
0.9,318.5,122.5,34.95,35.04,True,False,False,False,False,True,False,False,True,False,False
0.9,318.5,122.5,35.05,33.82,False,True,False,False,False,True,False,False,True,False,False
0.9,318.5,122.5,34.29,33.31,False,False,True,False,False,True,False,False,True,False,False
0.86,294.0,147.0,31.28,35.22,False,False,False,False,False,True,False,False,True,False,False
0.86,294.0,147.0,32.12,34.7,True,False,False,False,False,True,False,False,True,False,False
0.86,294.0,147.0,32.05,30.11,False,True,False,False,False,True,False,False,True,False,False
0.86,294.0,147.0,31.84,31.6,False,False,True,False,False,True,False,False,True,False,False
0.82,318.5,147.0,28.67,32.43,False,False,False,False,False,True,False,False,True,False,False
0.82,318.5,147.0,29.67,30.65,True,False,False,False,False,True,False,False,True,False,False
0.82,318.5,147.0,29.47,29.77,False,True,False,False,False,True,False,False,True,False,False
0.82,318.5,147.0,28.91,29.64,False,False,True,False,False,True,False,False,True,False,False
