Relative_Compactness,Wall_Area,Roof_Area,Heating_Load,Cooling_Load,Ori_3,Ori_4,Ori_5,GA_0.1,GA_0.25,GA_0.4,GD_1,GD_2,GD_3,GD_4,GD_5,H_7.0
0.69,294.0,220.5,11.13,14.61,True,False,False,True,False,False,True,False,False,False,False,False
0.69,294.0,220.5,11.09,14.3,False,True,False,True,False,False,True,False,False,False,False,False
0.69,294.0,220.5,11.16,14.45,False,False,True,True,False,False,True,False,False,False,False,False
0.66,318.5,220.5,11.68,13.9,False,False,False,True,False,False,True,False,False,False,False,False
0.66,318.5,220.5,11.69,13.72,True,False,False,True,False,False,True,False,False,False,False,False
0.66,318.5,220.5,11.7,13.88,False,True,False,True,False,False,True,False,False,False,False,False
0.66,318.5,220.5,11.69,13.65,False,False,True,True,False,False,True,False,False,False,False,False
0.64,343.0,220.5,15.41,19.37,False,False,False,True,False,False,True,False,False,False,False,False
0.64,343.0,220.5,15.2,19.43,True,False,False,True,False,False,True,False,False,False,False,False
0.64,343.0,220.5,15.42,19.34,False,True,False,True,False,False,True,False,False,False,False,False
0.64,343.0,220.5,15.21,19.32,False,False,True,True,False,False,True,False,False,False,False,False
0.62,367.5,220.5,12.96,14.34,False,False,False,True,False,False,True,False,False,False,False,False
0.62,367.5,220.5,12.97,14.5,True,False,False,True,False,False,True,False,False,False,False,False
0.62,367.5,220.5,12.93,14.33,False,True,False,True,False,False,True,False,False,False,False,False
0.62,367.5,220.5,13.02,14.27,False,False,True,True,False,False,True,False,False,False,False,False
0.98,294.0,110.25,24.29,25.95,False,False,False,True,False,False,False,True,False,False,False,True
0.98,294.0,110.25,24.31,25.63,True,False,False,True,False,False,False,True,False,False,False,True
0.98,294.0,110.25,24.13,26.13,False,True,False,True,False,False,False,True,False,False,False,True
0.98,294.0,110.25,24.25,25.89,False,False,True,True,False,False,False,True,False,False,False,True
0.9,318.5,122.5,28.88,32.54,False,False,False,True,False,False,False,True,False,False,False,True
0.9,318.5,122.5,29.68,29.44,True,False,False,True,False,False,False,True,False,False,False,True
0.9,318.5,122.5,28.83,29.36,False,True,False,True,False,False,False,True,False,False,False,True
0.9,318.5,122.5,27.9,34.2,False,False,True,True,False,False,False,True,False,False,False,True
0.86,294.0,147.0,26.48,30.91,False,False,False,True,False,False,False,True,False,False,False,True
0.86,294.0,147.0,27.02,25.63,True,False,False,True,False,False,False,True,False,False,False,True
0.86,294.0,147.0,26.33,27.36,False,True,False,True,False,False,False,True,False,False,False,True
0.86,294.0,147.0,25.36,31.9,False,False,True,True,False,False,False,True,False,False,False,True
0.82,318.5,147.0,23.75,27.38,False,False,False,True,False,False,False,True,False,False,False,True
0.82,318.5,147.0,24.23,25.02,True,False,False,True,False,False,False,True,False,False,False,True
0.82,318.5,147.0,23.67,24.8,False,True,False,True,False,False,False,True,False,False,False,True
0.82,318.5,147.0,22.79,28.79,False,False,True,True,False,False,False,True,False,False,False,True
0.79,343.0,147.0,35.65,41.07,False,False,False,True,False,False,False,True,False,False,False,True
0.79,343.0,147.0,37.26,34.62,True,False,False,True,False,False,False,True,False,False,False,True
0.79,343.0,147.0,36.97,33.87,False,True,False,True,False,False,False,True,False,False,False,True
0.79,343.0,147.0,36.03,42.86,False,False,True,True,False,False,False,True,False,False,False,True
0.76,416.5,122.5,33.16,33.91,False,False,False,True,False,False,False,True,False,False,False,True
0.76,416.5,122.5,32.4,34.07,True,False,False,True,False,False,False,True,False,False,False,True
0.76,416.5,122.5,33.12,34.17,False,True,False,True,False,False,False,True,False,False,False,True
0.76,416.5,122.5,32.41,33.78,False,False,True,True,False,False,False,True,False,False,False,True
0.74,245.0,220.5,10.42,13.39,False,False,False,True,False,False,False,True,False,False,False,False
0.74,245.0,220.5,10.46,13.72,True,False,False,True,False,False,False,True,False,False,False,False
0.74,245.0,220.5,10.32,13.57,False,True,False,True,False,False,False,True,False,False,False,False
0.74,245.0,220.5,10.45,13.79,False,False,True,True,False,False,False,True,False,False,False,False
0.71,269.5,220.5,10.64,13.67,False,False,False,True,False,False,False,True,False,False,False,False
0.71,269.5,220.5,10.72,14.11,True,False,False,True,False,False,False,True,False,False,False,False
0.71,269.5,220.5,10.55,13.8,False,True,False,True,False,False,False,True,False,False,False,False
0.71,269.5,220.5,10.68,14.21,False,False,True,True,False,False,False,True,False,False,False,False
0.69,294.0,220.5,11.45,13.2,False,False,False,True,False,False,False,True,False,False,False,False
0.69,294.0,220.5,11.46,13.54,True,False,False,True,False,False,False,True,False,False,False,False
0.69,294.0,220.5,11.32,13.32,False,True,False,True,False,False,False,True,False,False,False,False
0.69,294.0,220.5,11.49,13.51,False,False,True,True,False,False,False,True,False,False,False,False
0.66,318.5,220.5,11.45,14.86,False,False,False,True,False,False,False,True,False,False,False,False
0.66,318.5,220.5,11.42,14.75,True,False,False,True,False,False,False,True,False,False,False,False
0.66,318.5,220.5,11.33,15.0,False,True,False,True,False,False,False,True,False,False,False,False
0.66,318.5,220.5,11.43,14.74,False,False,True,True,False,False,False,True,False,False,False,False
0.64,343.0,220.5,15.41,19.23,False,False,False,True,False,False,False,True,False,False,False,False
0.64,343.0,220.5,15.18,19.34,True,False,False,True,False,False,False,True,False,False,False,False
0.64,343.0,220.5,15.34,19.32,False,True,False,True,False,False,False,True,False,False,False,False
0.64,343.0,220.5,15.19,19.3,False,False,True,True,False,False,False,True,False,False,False,False
0.62,367.5,220.5,12.88,14.37,False,False,False,True,False,False,False,True,False,False,False,False
0.62,367.5,220.5,13.0,14.57,True,False,False,True,False,False,False,True,False,False,False,False
0.62,367.5,220.5,12.97,14.27,False,True,False,True,False,False,False,True,False,False,False,False
0.62,367.5,220.5,13.04,14.24,False,False,True,True,False,False,False,True,False,False,False,False
0.98,294.0,110.25,24.28,25.68,False,False,False,True,False,False,False,False,True,False,False,True
0.98,294.0,110.25,24.4,26.02,True,False,False,True,False,False,False,False,True,False,False,True
0.98,294.0,110.25,24.11,25.84,False,True,False,True,False,False,False,False,True,False,False,True
0.98,294.0,110.25,24.35,26.14,False,False,True,True,False,False,False,False,True,False,False,True
0.9,318.5,122.5,28.07,34.14,False,False,False,True,False,False,False,False,True,False,False,True
0.9,318.5,122.5,29.01,32.85,True,False,False,True,False,False,False,False,True,False,False,True
0.9,318.5,122.5,29.62,30.08,False,True,False,True,False,False,False,False,True,False,False,True
0.9,318.5,122.5,29.05,29.67,False,False,True,True,False,False,False,False,True,False,False,True
0.86,294.0,147.0,25.41,31.73,False,False,False,True,False,False,False,False,True,False,False,True
0.86,294.0,147.0,26.47,31.01,True,False,False,True,False,False,False,False,True,False,False,True
0.86,294.0,147.0,26.89,25.9,False,True,False,True,False,False,False,False,True,False,False,True
0.86,294.0,147.0,26.46,27.4,False,False,True,True,False,False,False,False,True,False,False,True
0.82,318.5,147.0,22.93,28.68,False,False,False,True,False,False,False,False,True,False,False,True
0.82,318.5,147.0,23.84,27.54,True,False,False,True,False,False,False,False,True,False,False,True
0.82,318.5,147.0,24.17,25.35,False,True,False,True,False,False,False,False,True,False,False,True
0.82,318.5,147.0,23.87,24.93,False,False,True,True,False,False,False,False,True,False,False,True
0.79,343.0,147.0,35.78,43.12,False,False,False,True,False,False,False,False,True,False,False,True
0.79,343.0,147.0,35.48,41.22,True,False,False,True,False,False,False,False,True,False,False,True
0.79,343.0,147.0,36.97,35.1,False,True,False,True,False,False,False,False,True,False,False,True
0.79,343.0,147.0,36.7,34.29,False,False,True,True,False,False,False,False,True,False,False,True
0.76,416.5,122.5,32.52,33.85,False,False,False,True,False,False,False,False,True,False,False,True
0.76,416.5,122.5,33.28,34.11,True,False,False,True,False,False,False,False,True,False,False,True
0.76,416.5,122.5,32.33,34.48,False,True,False,True,False,False,False,False,True,False,False,True
0.76,416.5,122.5,33.24,34.5,False,False,True,True,False,False,False,False,True,False,False,True
0.74,245.0,220.5,10.39,13.6,False,False,False,True,False,False,False,False,True,False,False,False
0.74,245.0,220.5,10.34,13.36,True,False,False,True,False,False,False,False,True,False,False,False
0.74,245.0,220.5,10.35,13.65,False,True,False,True,False,False,False,False,True,False,False,False
0.74,245.0,220.5,10.38,13.49,False,False,True,True,False,False,False,False,True,False,False,False
0.71,269.5,220.5,10.77,14.14,False,False,False,True,False,False,False,False,True,False,False,False
0.71,269.5,220.5,10.68,13.77,True,False,False,True,False,False,False,False,True,False,False,False
0.71,269.5,220.5,10.68,14.3,False,True,False,True,False,False,False,False,True,False,False,False
0.71,269.5,220.5,10.7,13.87,False,False,True,True,False,False,False,False,True,False,False,False
0.69,294.0,220.5,11.22,14.44,False,False,False,True,False,False,False,False,True,False,False,False
0.69,294.0,220.5,11.16,14.27,True,False,False,True,False,False,False,False,True,False,False,False
0.69,294.0,220.5,11.1,14.67,False,True,False,True,False,False,False,False,True,False,False,False
0.69,294.0,220.5,11.14,14.4,False,False,True,True,False,False,False,False,True,False,False,False
0.66,318.5,220.5,11.59,13.46,False,False,False,True,False,False,False,False,True,False,False,False
0.66,318.5,220.5,11.6,13.7,True,False,False,True,False,False,False,False,True,False,False,False
0.66,318.5,220.5,11.53,13.59,False,True,False,True,False,False,False,False,True,False,False,False
0.66,318.5,220.5,11.61,13.83,False,False,True,True,False,False,False,False,True,False,False,False
0.64,343.0,220.5,15.16,19.14,False,False,False,True,False,False,False,False,True,False,False,False
0.64,343.0,220.5,15.36,19.18,True,False,False,True,False,False,False,False,True,False,False,False
0.64,343.0,220.5,15.12,19.37,False,True,False,True,False,False,False,False,True,False,False,False
0.64,343.0,220.5,15.36,19.29,False,False,True,True,False,False,False,False,True,False,False,False
0.62,367.5,220.5,12.68,14.09,False,False,False,True,False,False,False,False,True,False,False,False
0.62,367.5,220.5,12.63,14.23,True,False,False,True,False,False,False,False,True,False,False,False
0.62,367.5,220.5,12.71,14.14,False,True,False,True,False,False,False,False,True,False,False,False
0.62,367.5,220.5,12.73,13.89,False,False,True,True,False,False,False,False,True,False,False,False
0.98,294.0,110.25,24.38,25.91,False,False,False,True,False,False,False,False,False,True,False,True
0.98,294.0,110.25,24.23,25.72,True,False,False,True,False,False,False,False,False,True,False,True
0.98,294.0,110.25,24.04,26.18,False,True,False,True,False,False,False,False,False,True,False,True
0.98,294.0,110.25,24.32,25.87,False,False,True,True,False,False,False,False,False,True,False,True
0.9,318.5,122.5,29.06,29.34,False,False,False,True,False,False,False,False,False,True,False,True
0.9,318.5,122.5,28.05,33.91,True,False,False,True,False,False,False,False,False,True,False,True
0.9,318.5,122.5,28.86,32.83,False,True,False,True,False,False,False,False,False,True,False,True
0.9,318.5,122.5,29.79,29.92,False,False,True,True,False,False,False,False,False,True,False,True
0.86,294.0,147.0,26.44,27.17,False,False,False,True,False,False,False,False,False,True,False,True
0.86,294.0,147.0,25.37,31.76,True,False,False,True,False,False,False,False,False,True,False,True
0.86,294.0,147.0,26.33,31.06,False,True,False,True,False,False,False,False,False,True,False,True
0.86,294.0,147.0,27.03,25.81,False,False,True,True,False,False,False,False,False,True,False,True
0.82,318.5,147.0,23.8,24.61,False,False,False,True,False,False,False,False,False,True,False,True
0.82,318.5,147.0,22.8,28.61,True,False,False,True,False,False,False,False,False,True,False,True
0.82,318.5,147.0,23.59,27.57,False,True,False,True,False,False,False,False,False,True,False,True
0.82,318.5,147.0,24.24,25.16,False,False,True,True,False,False,False,False,False,True,False,True
0.79,343.0,147.0,36.86,34.25,False,False,False,True,False,False,False,False,False,True,False,True
0.79,343.0,147.0,35.89,43.3,True,False,False,True,False,False,False,False,False,True,False,True
0.79,343.0,147.0,35.45,41.86,False,True,False,True,False,False,False,False,False,True,False,True
0.79,343.0,147.0,37.1,35.29,False,False,True,True,False,False,False,False,False,True,False,True
0.76,416.5,122.5,33.08,34.11,False,False,False,True,False,False,False,False,False,True,False,True
0.76,416.5,122.5,32.38,33.62,True,False,False,True,False,False,False,False,False,True,False,True
0.76,416.5,122.5,33.09,33.89,False,True,False,True,False,False,False,False,False,True,False,True
0.76,416.5,122.5,32.31,34.05,False,False,True,True,False,False,False,False,False,True,False,True
0.74,245.0,220.5,10.08,13.2,False,False,False,True,False,False,False,False,False,True,False,False
0.74,245.0,220.5,10.15,13.36,True,False,False,True,False,False,False,False,False,True,False,False
0.74,245.0,220.5,10.07,13.21,False,True,False,True,False,False,False,False,False,True,False,False
0.74,245.0,220.5,10.14,13.53,False,False,True,True,False,False,False,False,False,True,False,False
0.71,269.5,220.5,10.66,13.67,False,False,False,True,False,False,False,False,False,True,False,False
0.71,269.5,220.5,10.68,14.12,True,False,False,True,False,False,False,False,False,True,False,False
0.71,269.5,220.5,10.53,13.79,False,True,False,True,False,False,False,False,False,True,False,False
0.71,269.5,220.5,10.72,14.2,False,False,True,True,False,False,False,False,False,True,False,False
0.69,294.0,220.5,11.18,14.29,False,False,False,True,False,False,False,False,False,True,False,False
0.69,294.0,220.5,11.22,14.49,True,False,False,True,False,False,False,False,False,True,False,False
0.69,294.0,220.5,11.07,14.42,False,True,False,True,False,False,False,False,False,True,False,False
0.69,294.0,220.5,11.2,14.73,False,False,True,True,False,False,False,False,False,True,False,False
0.66,318.5,220.5,11.44,14.86,False,False,False,True,False,False,False,False,False,True,False,False
0.66,318.5,220.5,11.42,14.67,True,False,False,True,False,False,False,False,False,True,False,False
0.66,318.5,220.5,11.33,15.0,False,True,False,True,False,False,False,False,False,True,False,False
0.66,318.5,220.5,11.43,14.83,False,False,True,True,False,False,False,False,False,True,False,False
0.64,343.0,220.5,15.4,19.24,False,False,False,True,False,False,False,False,False,True,False,False
0.64,343.0,220.5,15.19,19.25,True,False,False,True,False,False,False,False,False,True,False,False
0.64,343.0,220.5,15.32,19.42,False,True,False,True,False,False,False,False,False,True,False,False
0.64,343.0,220.5,15.16,19.48,False,False,True,True,False,False,False,False,False,True,False,False
0.62,367.5,220.5,12.85,14.37,False,False,False,True,False,False,False,False,False,True,False,False
0.62,367.5,220.5,13.04,14.34,True,False,False,True,False,False,False,False,False,True,False,False
0.62,367.5,220.5,13.0,14.28,False,True,False,True,False,False,False,False,False,True,False,False
0.62,367.5,220.5,13.0,14.47,False,False,True,True,False,False,False,False,False,True,False,False
0.98,294.0,110.25,24.35,25.64,False,False,False,True,False,False,False,False,False,False,True,True
0.98,294.0,110.25,24.33,25.98,True,False,False,True,False,False,False,False,False,False,True,True
0.98,294.0,110.25,24.03,25.88,False,True,False,True,False,False,False,False,False,False,True,True
0.98,294.0,110.25,24.26,26.18,False,False,True,True,False,False,False,False,False,False,True,True
0.9,318.5,122.5,29.83,29.82,False,False,False,True,False,False,False,False,False,False,True,True
0.9,318.5,122.5,29.08,29.52,True,False,False,True,False,False,False,False,False,False,True,True
0.9,318.5,122.5,28.03,34.45,False,True,False,True,False,False,False,False,False,False,True,True
0.9,318.5,122.5,29.02,33.01,False,False,True,True,False,False,False,False,False,False,True,True
0.86,294.0,147.0,27.03,25.82,False,False,False,True,False,False,False,False,False,False,True,True
0.86,294.0,147.0,26.45,27.33,True,False,False,True,False,False,False,False,False,False,True,True
0.86,294.0,147.0,25.36,32.04,False,True,False,True,False,False,False,False,False,False,True,True
0.86,294.0,147.0,26.45,31.28,False,False,True,True,False,False,False,False,False,False,True,True
0.82,318.5,147.0,24.37,25.11,False,False,False,True,False,False,False,False,False,False,True,True
0.82,318.5,147.0,23.89,24.77,True,False,False,True,False,False,False,False,False,False,True,True
0.82,318.5,147.0,22.89,28.88,False,True,False,True,False,False,False,False,False,False,True,True
0.82,318.5,147.0,23.86,27.69,False,False,True,True,False,False,False,False,False,False,True,True
0.79,343.0,147.0,37.03,34.99,False,False,False,True,False,False,False,False,False,False,True,True
0.79,343.0,147.0,36.71,34.18,True,False,False,True,False,False,False,False,False,False,True,True
0.79,343.0,147.0,36.77,43.14,False,True,False,True,False,False,False,False,False,False,True,True
0.79,343.0,147.0,35.48,41.26,False,False,True,True,False,False,False,False,False,False,True,True
0.76,416.5,122.5,32.31,34.25,False,False,False,True,False,False,False,False,False,False,True,True
0.76,416.5,122.5,33.21,34.35,True,False,False,True,False,False,False,False,False,False,True,True
0.76,416.5,122.5,32.46,33.64,False,True,False,True,False,False,False,False,False,False,True,True
0.76,416.5,122.5,33.27,33.88,False,False,True,True,False,False,False,False,False,False,True,True
0.74,245.0,220.5,10.47,13.65,False,False,False,True,False,False,False,False,False,False,True,False
0.74,245.0,220.5,10.37,13.44,True,False,False,True,False,False,False,False,False,False,True,False
0.74,245.0,220.5,10.34,13.72,False,True,False,True,False,False,False,False,False,False,True,False
0.74,245.0,220.5,10.39,13.5,False,False,True,True,False,False,False,False,False,False,True,False
0.71,269.5,220.5,10.78,14.18,False,False,False,True,False,False,False,False,False,False,True,False
0.71,269.5,220.5,10.7,13.75,True,False,False,True,False,False,False,False,False,False,True,False
0.71,269.5,220.5,10.67,14.26,False,True,False,True,False,False,False,False,False,False,True,False
0.71,269.5,220.5,13.69,13.89,False,False,True,True,False,False,False,False,False,False,True,False
0.69,294.0,220.5,11.21,14.55,False,False,False,True,False,False,False,False,False,False,True,False
0.69,294.0,220.5,11.14,14.28,True,False,False,True,False,False,False,False,False,False,True,False
0.69,294.0,220.5,11.11,14.46,False,True,False,True,False,False,False,False,False,False,True,False
0.69,294.0,220.5,11.16,14.39,False,False,True,True,False,False,False,False,False,False,True,False
0.66,318.5,220.5,11.38,14.54,False,False,False,True,False,False,False,False,False,False,True,False
0.66,318.5,220.5,11.34,14.81,True,False,False,True,False,False,False,False,False,False,True,False
0.66,318.5,220.5,11.22,14.65,False,True,False,True,False,False,False,False,False,False,True,False
0.66,318.5,220.5,11.34,14.87,False,False,True,True,False,False,False,False,False,False,True,False
0.64,343.0,220.5,15.16,19.24,False,False,False,True,False,False,False,False,False,False,True,False
0.64,343.0,220.5,15.37,19.18,True,False,False,True,False,False,False,False,False,False,True,False
0.64,343.0,220.5,15.12,19.26,False,True,False,True,False,False,False,False,False,False,True,False
0.64,343.0,220.5,15.36,19.29,False,False,True,True,False,False,False,False,False,False,True,False
0.62,367.5,220.5,12.59,14.24,False,False,False,True,False,False,False,False,False,False,True,False
0.62,367.5,220.5,12.74,13.97,True,False,False,True,False,False,False,False,False,False,True,False
0.62,367.5,220.5,12.8,13.99,False,True,False,True,False,False,False,False,False,False,True,False
0.62,367.5,220.5,12.62,14.15,False,False,True,True,False,False,False,False,False,False,True,False
0.98,294.0,110.25,28.15,29.79,False,False,False,False,True,False,True,False,False,False,False,True
0.98,294.0,110.25,28.15,29.79,True,False,False,False,True,False,True,False,False,False,False,True
0.98,294.0,110.25,28.37,29.28,False,True,False,False,True,False,True,False,False,False,False,True
0.98,294.0,110.25,28.41,29.49,False,False,True,False,True,False,True,False,False,False,False,True
0.9,318.5,122.5,32.68,36.12,False,False,False,False,True,False,True,False,False,False,False,True
0.9,318.5,122.5,33.48,33.17,True,False,False,False,True,False,True,False,False,False,False,True
0.9,318.5,122.5,32.84,32.71,False,True,False,False,True,False,True,False,False,False,False,True
0.9,318.5,122.5,32.0,37.58,False,False,True,False,True,False,True,False,False,False,False,True
0.86,294.0,147.0,29.54,33.98,False,False,False,False,True,False,True,False,False,False,False,True
0.86,294.0,147.0,30.05,28.61,True,False,False,False,True,False,True,False,False,False,False,True
0.86,294.0,147.0,29.6,30.12,False,True,False,False,True,False,True,False,False,False,False,True
0.86,294.0,147.0,28.66,34.73,False,False,True,False,True,False,True,False,False,False,False,True
0.82,318.5,147.0,26.84,30.17,False,False,False,False,True,False,True,False,False,False,False,True
0.82,318.5,147.0,27.27,27.84,True,False,False,False,True,False,True,False,False,False,False,True
0.82,318.5,147.0,26.97,27.25,False,True,False,False,True,False,True,False,False,False,False,True
0.82,318.5,147.0,26.19,31.39,False,False,True,False,True,False,True,False,False,False,False,True
0.79,343.0,147.0,38.67,43.8,False,False,False,False,True,False,True,False,False,False,False,True
0.79,343.0,147.0,40.03,37.81,True,False,False,False,True,False,True,False,False,False,False,True
0.79,343.0,147.0,39.86,36.85,False,True,False,False,True,False,True,False,False,False,False,True
0.79,343.0,147.0,39.04,45.52,False,False,True,False,True,False,True,False,False,False,False,True
0.76,416.5,122.5,36.96,36.85,False,False,False,False,True,False,True,False,False,False,False,True
0.76,416.5,122.5,36.13,37.58,True,False,False,False,True,False,True,False,False,False,False,True
0.76,416.5,122.5,36.91,37.45,False,True,False,False,True,False,True,False,False,False,False,True
0.76,416.5,122.5,36.43,36.62,False,False,True,False,True,False,True,False,False,False,False,True
0.74,245.0,220.5,12.43,15.19,False,False,False,False,True,False,True,False,False,False,False,False
